id;total_service_orders;total_volume;total_weight;total_finished_service_orders;days_to_start;days_to_accept;total_pickup_problems;total_delivery_problems
467331;10;0.1;10.0;10;0 days 00:13:36;0 days 04:35:29;6;6
467385;80;1.6;170.56000000000006;80;1 days 00:05:33;1 days 12:03:32;4;14
467326;75;0.9210000000000005;183.609;75;0 days 07:46:28;0 days 00:00:09;0;69
467337;60;0.9570000000000004;163.81499999999997;60;0 days 05:14:59;0 days 00:00:07;0;60
467381;75;0.8280000000000004;101.136;75;0 days 01:54:50;2 days 15:28:34;0;9
467372;153;2.8720000000000003;294.59400000000005;150;2 days 11:50:02;0 days 00:21:02;0;21
467351;6;0.24;24.84;0;10 days 07:11:48;0 days 00:01:59;0;6
467261;80;2.547999999999999;172.884;80;0 days 04:23:05;0 days 00:00:15;0;4
467370;72;2.6399999999999992;450.35799999999995;72;0 days 01:31:03;2 days 13:46:07;0;2
467380;157;5.033999999999997;472.5200000000001;157;2 days 10:50:50;0 days 00:22:33;2;9
467271;92;1.7470000000000003;209.90800000000002;92;0 days 00:06:27;0 days 00:00:19;0;8
467275;20;0.21600000000000008;32.45399999999999;20;0 days 00:11:39;0 days 00:00:05;0;0
467324;28;0.28600000000000003;17.078;28;0 days 08:36:33;0 days 00:00:05;0;0
467283;8;0.068;34.120000000000005;8;0 days 00:09:30;0 days 00:00:04;0;0
467347;16;0.15999999999999998;0.0;16;0 days 00:23:22;0 days 00:42:20;2;2
467285;14;0.13999999999999999;10.274;14;0 days 00:09:09;0 days 00:00:01;0;0
467269;35;0.2610000000000001;16.7;35;0 days 00:03:08;0 days 00:00:07;0;3
467344;10;0.1;0.0;10;0 days 00:53:23;0 days 01:03:26;0;0
467319;2;0.02;6.386;2;0 days 00:00:07;0 days 00:00:23;0;0
467350;6;0.08;0.0;6;2 days 22:17:09;0 days 00:00:03;0;0
467314;2;0.02;1.8;2;0 days 00:12:06;0 days 00:00:19;0;0
467334;8;0.08;14.0;6;0 days 00:58:52;0 days 00:15:53;2;2
467304;6;0.048;5.312;6;0 days 00:17:17;0 days 00:02:19;0;0
467323;2;0.02;14.0;0;0 days 00:00:13;0 days 00:03:25;2;2
467320;2;0.02;4.6;2;0 days 00:00:07;0 days 00:00:20;0;0
467089;116;2.657999999999995;420.30099999999976;112;1 days 10:03:23;0 days 00:08:37;16;18
467098;132;3.5899999999999954;259.27400000000017;129;1 days 13:02:49;0 days 00:03:56;34;40
467059;90;2.0519999999999996;119.22400000000002;84;0 days 01:51:58;1 days 10:55:44;8;14
467100;109;2.051;197.29600000000002;107;0 days 00:46:07;1 days 10:59:30;6;27
